dataset,ir,samples,features,alpha,beta,bare,barestd,er,erstd,ew,ewstd,en,enstd,sr,srstd,sw,swstd,sn,snstd
australian,1.25,690,14,0.0,0.0,\cellcolor{red!25} 0.777,0.010,\cellcolor{green!25} 0.852,0.016,\cellcolor{green!25} 0.855,0.018,\cellcolor{green!25} 0.877,0.016,\cellcolor{green!25} 0.878,0.027,\cellcolor{green!25} 0.876,0.029,\cellcolor{green!25} 0.861,0.018
glass-0-1-2-3_vs_4-5-6,3.20,214,9,0.0,0.0,\cellcolor{green!25} 0.869,0.087,\cellcolor{green!25} 0.891,0.061,\cellcolor{green!25} 0.898,0.050,\cellcolor{green!25} 0.910,0.044,\cellcolor{green!25} 0.900,0.062,\cellcolor{green!25} 0.910,0.044,\cellcolor{green!25} 0.910,0.044
glass-0-1-4-6_vs_2,11.06,205,9,0.1,0.0,\cellcolor{red!25} 0.577,0.124,\cellcolor{green!25} 0.747,0.087,\cellcolor{green!25} 0.761,0.104,\cellcolor{green!25} 0.739,0.081,\cellcolor{green!25} 0.724,0.101,\cellcolor{green!25} 0.746,0.135,\cellcolor{green!25} 0.773,0.108
glass-0-1-5_vs_2,9.12,172,9,0.0,0.0,\cellcolor{red!25} 0.519,0.068,\cellcolor{green!25} 0.711,0.077,\cellcolor{green!25} 0.728,0.089,\cellcolor{green!25} 0.765,0.041,\cellcolor{green!25} 0.691,0.064,\cellcolor{green!25} 0.696,0.087,\cellcolor{green!25} 0.710,0.058
glass-0-1-6_vs_2,10.29,192,9,0.0,0.0,\cellcolor{red!25} 0.580,0.058,\cellcolor{green!25} 0.726,0.088,\cellcolor{green!25} 0.726,0.102,\cellcolor{green!25} 0.751,0.049,\cellcolor{green!25} 0.705,0.086,\cellcolor{green!25} 0.700,0.080,\cellcolor{green!25} 0.731,0.055
glass-0-1-6_vs_5,19.44,184,9,0.0,0.0,\cellcolor{green!25} 0.941,0.096,\cellcolor{green!25} 0.991,0.007,\cellcolor{green!25} 0.991,0.007,\cellcolor{green!25} 0.989,0.006,\cellcolor{green!25} 0.989,0.006,\cellcolor{green!25} 0.989,0.006,\cellcolor{green!25} 0.989,0.006
glass-0-4_vs_5,9.22,92,9,0.0,0.0,\cellcolor{green!25} 0.994,0.012,\cellcolor{green!25} 0.994,0.012,\cellcolor{green!25} 0.994,0.012,\cellcolor{green!25} 0.994,0.012,\cellcolor{green!25} 0.994,0.012,\cellcolor{green!25} 0.994,0.012,\cellcolor{green!25} 0.994,0.012
glass-0-6_vs_5,11.00,108,9,0.0,0.0,\cellcolor{green!25} 0.945,0.098,\cellcolor{green!25} 0.995,0.010,\cellcolor{green!25} 0.995,0.010,\cellcolor{green!25} 0.995,0.010,\cellcolor{green!25} 0.980,0.040,\cellcolor{green!25} 0.995,0.010,\cellcolor{green!25} 0.995,0.010
glass0,2.06,214,9,0.3,0.0,\cellcolor{red!25} 0.700,0.021,\cellcolor{green!25} 0.739,0.020,\cellcolor{green!25} 0.746,0.025,\cellcolor{green!25} 0.749,0.016,\cellcolor{green!25} 0.766,0.024,\cellcolor{green!25} 0.762,0.026,\cellcolor{green!25} 0.753,0.015
glass1,1.82,214,9,0.1,0.3,\cellcolor{red!25} 0.671,0.028,\cellcolor{green!25} 0.715,0.025,\cellcolor{green!25} 0.713,0.036,\cellcolor{green!25} 0.722,0.043,\cellcolor{green!25} 0.707,0.028,\cellcolor{green!25} 0.697,0.050,\cellcolor{green!25} 0.734,0.020
glass2,11.59,214,9,0.0,0.0,\cellcolor{red!25} 0.591,0.073,\cellcolor{green!25} 0.726,0.054,\cellcolor{green!25} 0.769,0.062,\cellcolor{green!25} 0.751,0.074,\cellcolor{green!25} 0.724,0.056,\cellcolor{green!25} 0.765,0.096,\cellcolor{green!25} 0.775,0.058
