dataset,ir,samples,features,alpha,beta,bare,barestd,er,erstd,ew,ewstd,en,enstd,sr,srstd,sw,swstd,sn,snstd
glass4,15.46,214,9,0.0,0.1,\cellcolor{red!25} 0.587,0.117,\cellcolor{green!25} 0.649,0.092,\cellcolor{green!25} 0.680,0.040,\cellcolor{green!25} 0.716,0.070,\cellcolor{green!25} 0.735,0.114,\cellcolor{green!25} 0.732,0.116,\cellcolor{green!25} 0.773,0.121
glass5,22.78,214,9,0.0,0.0,\cellcolor{green!25} 0.938,0.101,\cellcolor{green!25} 0.988,0.013,\cellcolor{green!25} 0.988,0.013,\cellcolor{green!25} 0.988,0.013,\cellcolor{green!25} 0.988,0.013,\cellcolor{green!25} 0.988,0.013,\cellcolor{green!25} 0.988,0.013
glass6,6.38,214,9,0.0,0.0,\cellcolor{green!25} 0.891,0.077,\cellcolor{green!25} 0.945,0.040,\cellcolor{green!25} 0.945,0.040,\cellcolor{green!25} 0.945,0.040,\cellcolor{green!25} 0.959,0.040,\cellcolor{green!25} 0.959,0.040,\cellcolor{green!25} 0.945,0.040
heart,inf,270,13,0.0,0.0,\cellcolor{red!25} 0.838,0.057,\cellcolor{green!25} 0.871,0.056,\cellcolor{green!25} 0.871,0.056,\cellcolor{green!25} 0.872,0.062,\cellcolor{green!25} 0.832,0.022,\cellcolor{green!25} 0.832,0.022,\cellcolor{green!25} 0.849,0.041
hepatitis,inf,80,19,0.0,0.7,\cellcolor{red!25} 0.687,0.092,\cellcolor{green!25} 0.888,0.040,\cellcolor{green!25} 0.897,0.049,\cellcolor{green!25} 0.904,0.072,\cellcolor{green!25} 0.924,0.060,\cellcolor{green!25} 0.924,0.060,\cellcolor{green!25} 0.911,0.079
page-blocks-1-3_vs_4,15.86,472,10,0.1,0.0,\cellcolor{red!25} 0.763,0.090,\cellcolor{red!25} 0.789,0.079,\cellcolor{red!25} 0.789,0.079,\cellcolor{green!25} 0.934,0.062,\cellcolor{green!25} 0.956,0.023,\cellcolor{green!25} 0.966,0.022,\cellcolor{green!25} 0.920,0.060
pima,1.87,768,8,0.0,0.0,\cellcolor{red!25} 0.720,0.012,\cellcolor{green!25} 0.734,0.013,\cellcolor{green!25} 0.737,0.019,\cellcolor{green!25} 0.747,0.020,\cellcolor{green!25} 0.742,0.019,\cellcolor{green!25} 0.743,0.019,\cellcolor{red!25} 0.725,0.031
ring,1.02,7400,20,0.0,0.0,\cellcolor{red!25} 0.980,0.005,\cellcolor{green!25} 0.975,0.004,\cellcolor{green!25} 0.976,0.004,\cellcolor{green!25} 0.976,0.004,\cellcolor{red!25} 0.953,0.012,\cellcolor{red!25} 0.951,0.011,\cellcolor{red!25} 0.960,0.007
shuttle-c0-vs-c4,13.87,1829,9,0.0,0.0,\cellcolor{green!25} 0.991,0.010,\cellcolor{green!25} 1.000,0.000,\cellcolor{green!25} 1.000,0.000,\cellcolor{green!25} 1.000,0.000,\cellcolor{green!25} 1.000,0.001,\cellcolor{green!25} 1.000,0.001,\cellcolor{green!25} 1.000,0.000
shuttle-c2-vs-c4,20.50,129,9,0.0,0.0,\cellcolor{green!25} 0.996,0.008,\cellcolor{green!25} 1.000,0.000,\cellcolor{green!25} 1.000,0.000,\cellcolor{green!25} 1.000,0.000,\cellcolor{green!25} 1.000,0.000,\cellcolor{green!25} 1.000,0.000,\cellcolor{green!25} 1.000,0.000
vowel0,9.98,988,13,0.1,0.0,\cellcolor{green!25} 0.917,0.047,\cellcolor{green!25} 0.917,0.060,\cellcolor{green!25} 0.919,0.059,\cellcolor{green!25} 0.931,0.046,\cellcolor{green!25} 0.932,0.047,\cellcolor{green!25} 0.924,0.052,\cellcolor{green!25} 0.934,0.043
wisconsin,1.86,683,9,0.0,0.0,\cellcolor{green!25} 0.969,0.011,\cellcolor{green!25} 0.977,0.006,\cellcolor{green!25} 0.977,0.006,\cellcolor{green!25} 0.978,0.007,\cellcolor{green!25} 0.973,0.009,\cellcolor{green!25} 0.973,0.009,\cellcolor{green!25} 0.972,0.009
yeast-0-2-5-6_vs_3-7-8-9,9.14,1004,8,0.0,0.0,\cellcolor{red!25} 0.670,0.048,\cellcolor{red!25} 0.688,0.045,\cellcolor{red!25} 0.706,0.036,\cellcolor{green!25} 0.765,0.053,\cellcolor{green!25} 0.770,0.043,\cellcolor{green!25} 0.739,0.048,\cellcolor{green!25} 0.776,0.021
yeast-0-2-5-7-9_vs_3-6-8,9.14,1004,8,0.0,0.0,\cellcolor{red!25} 0.577,0.028,\cellcolor{green!25} 0.924,0.027,\cellcolor{green!25} 0.917,0.037,\cellcolor{green!25} 0.899,0.027,\cellcolor{red!25} 0.857,0.043,\cellcolor{green!25} 0.862,0.037,\cellcolor{green!25} 0.882,0.028
yeast-0-3-5-9_vs_7-8,9.12,506,8,0.0,0.0,\cellcolor{red!25} 0.557,0.007,\cellcolor{green!25} 0.705,0.040,\cellcolor{green!25} 0.710,0.051,\cellcolor{red!25} 0.619,0.022,\cellcolor{red!25} 0.607,0.035,\cellcolor{red!25} 0.607,0.035,\cellcolor{red!25} 0.608,0.034
yeast-0-5-6-7-9_vs_4,9.35,528,8,0.0,0.0,\cellcolor{red!25} 0.504,0.019,\cellcolor{green!25} 0.769,0.060,\cellcolor{green!25} 0.773,0.067,\cellcolor{green!25} 0.728,0.068,\cellcolor{red!25} 0.671,0.059,\cellcolor{green!25} 0.680,0.065,\cellcolor{green!25} 0.718,0.063
yeast-1-2-8-9_vs_7,30.57,947,8,0.0,0.0,\cellcolor{red!25} 0.544,0.023,\cellcolor{red!25} 0.639,0.096,\cellcolor{red!25} 0.639,0.098,\cellcolor{green!25} 0.733,0.097,\cellcolor{red!25} 0.599,0.034,\cellcolor{red!25} 0.604,0.034,\cellcolor{red!25} 0.612,0.065
yeast-1-4-5-8_vs_7,22.10,693,8,0.0,0.0,\cellcolor{red!25} 0.547,0.026,\cellcolor{green!25} 0.572,0.014,\cellcolor{green!25} 0.598,0.029,\cellcolor{green!25} 0.572,0.013,\cellcolor{red!25} 0.553,0.023,\cellcolor{red!25} 0.553,0.028,\cellcolor{green!25} 0.554,0.028
yeast-2_vs_4,9.08,514,8,0.0,0.0,\cellcolor{red!25} 0.561,0.037,\cellcolor{green!25} 0.906,0.038,\cellcolor{green!25} 0.901,0.036,\cellcolor{green!25} 0.878,0.018,\cellcolor{green!25} 0.903,0.023,\cellcolor{green!25} 0.884,0.024,\cellcolor{green!25} 0.873,0.019
yeast-2_vs_8,23.10,482,8,0.0,0.0,\cellcolor{green!25} 0.657,0.109,\cellcolor{green!25} 0.824,0.060,\cellcolor{green!25} 0.809,0.055,\cellcolor{green!25} 0.774,0.092,\cellcolor{green!25} 0.774,0.092,\cellcolor{green!25} 0.774,0.092,\cellcolor{green!25} 0.774,0.092
yeast1,2.46,1484,8,0.0,0.0,\cellcolor{red!25} 0.519,0.010,\cellcolor{green!25} 0.688,0.026,\cellcolor{green!25} 0.700,0.030,\cellcolor{green!25} 0.691,0.022,\cellcolor{red!25} 0.655,0.047,\cellcolor{red!25} 0.645,0.025,\cellcolor{green!25} 0.664,0.028
yeast3,8.10,1484,8,0.0,0.0,\cellcolor{red!25} 0.605,0.045,\cellcolor{red!25} 0.898,0.024,\cellcolor{red!25} 0.891,0.015,\cellcolor{green!25} 0.922,0.016,\cellcolor{red!25} 0.835,0.034,\cellcolor{red!25} 0.840,0.036,\cellcolor{red!25} 0.848,0.060
yeast4,28.10,1484,8,0.0,0.0,\cellcolor{red!25} 0.551,0.034,\cellcolor{green!25} 0.800,0.040,\cellcolor{green!25} 0.774,0.041,\cellcolor{green!25} 0.792,0.019,\cellcolor{red!25} 0.685,0.073,\cellcolor{red!25} 0.685,0.060,\cellcolor{red!25} 0.635,0.062
yeast5,32.73,1484,8,0.0,0.0,\cellcolor{red!25} 0.831,0.019,\cellcolor{green!25} 0.969,0.022,\cellcolor{green!25} 0.964,0.018,\cellcolor{green!25} 0.964,0.019,\cellcolor{green!25} 0.939,0.040,\cellcolor{green!25} 0.955,0.021,\cellcolor{green!25} 0.954,0.021
yeast6,41.40,1484,8,0.0,0.0,\cellcolor{red!25} 0.650,0.037,\cellcolor{green!25} 0.903,0.074,\cellcolor{green!25} 0.903,0.076,\cellcolor{green!25} 0.918,0.053,\cellcolor{red!25} 0.847,0.062,\cellcolor{red!25} 0.847,0.062,\cellcolor{green!25} 0.855,0.095
