group,dataset,features,bare,one_random_ens,gfse,best_one
datasets/bal,australian,14,0.777,0.788,0.859,0.810
datasets/bal,heart,13,0.838,0.798,0.841,0.778
datasets/bal,hepatitis,19,0.687,0.638,0.760,0.743
datasets/bal,ring,20,0.980,0.967,0.974,0.930
datasets/imb_IRlowerThan9,glass-0-1-2-3_vs_4-5-6,9,0.869,0.842,0.873,0.828
datasets/imb_IRlowerThan9,glass0,9,0.700,0.704,0.718,0.707
datasets/imb_IRlowerThan9,glass1,9,0.671,0.585,0.670,0.644
datasets/imb_IRlowerThan9,glass6,9,0.891,0.917,0.936,0.894
datasets/imb_IRlowerThan9,pima,8,0.720,0.709,0.694,0.661
datasets/imb_IRlowerThan9,wisconsin,9,0.969,0.960,0.962,0.948
datasets/imb_IRlowerThan9,yeast1,8,0.519,0.603,0.688,0.579
datasets/imb_IRlowerThan9,yeast3,8,0.605,0.770,0.892,0.674
datasets/imb_IRhigherThan9p1,glass-0-1-6_vs_2,9,0.580,0.558,0.601,0.598
datasets/imb_IRhigherThan9p1,glass-0-1-6_vs_5,9,0.941,0.853,0.939,0.725
datasets/imb_IRhigherThan9p1,glass2,9,0.591,0.577,0.614,0.596
datasets/imb_IRhigherThan9p1,glass4,9,0.587,0.602,0.592,0.601
datasets/imb_IRhigherThan9p1,glass5,9,0.938,0.884,0.938,0.733
datasets/imb_IRhigherThan9p1,page-blocks-1-3_vs_4,10,0.763,0.748,0.746,0.762
datasets/imb_IRhigherThan9p1,shuttle-c0-vs-c4,9,0.991,0.990,0.995,0.954
datasets/imb_IRhigherThan9p1,shuttle-c2-vs-c4,9,0.996,0.955,1.000,0.892
datasets/imb_IRhigherThan9p1,vowel0,13,0.917,0.764,0.900,0.875
datasets/imb_IRhigherThan9p1,yeast-0-5-6-7-9_vs_4,8,0.504,0.509,0.755,0.547
datasets/imb_IRhigherThan9p1,yeast-1-2-8-9_vs_7,8,0.544,0.533,0.623,0.543
datasets/imb_IRhigherThan9p1,yeast-1-4-5-8_vs_7,8,0.547,0.518,0.553,0.503
datasets/imb_IRhigherThan9p1,yeast-2_vs_4,8,0.561,0.571,0.862,0.691
datasets/imb_IRhigherThan9p1,yeast-2_vs_8,8,0.657,0.585,0.765,0.608
datasets/imb_IRhigherThan9p1,yeast4,8,0.551,0.539,0.758,0.568
datasets/imb_IRhigherThan9p1,yeast5,8,0.831,0.827,0.960,0.774
datasets/imb_IRhigherThan9p1,yeast6,8,0.650,0.655,0.874,0.653
datasets/imb_IRhigherThan9p2,glass-0-1-4-6_vs_2,9,0.577,0.606,0.632,0.587
datasets/imb_IRhigherThan9p2,glass-0-1-5_vs_2,9,0.519,0.588,0.670,0.566
datasets/imb_IRhigherThan9p2,glass-0-4_vs_5,9,0.994,0.894,0.994,0.843
datasets/imb_IRhigherThan9p2,glass-0-6_vs_5,9,0.945,0.825,0.995,0.806
datasets/imb_IRhigherThan9p2,yeast-0-2-5-6_vs_3-7-8-9,8,0.670,0.556,0.687,0.669
datasets/imb_IRhigherThan9p2,yeast-0-2-5-7-9_vs_3-6-8,8,0.577,0.661,0.898,0.643
datasets/imb_IRhigherThan9p2,yeast-0-3-5-9_vs_7-8,8,0.557,0.567,0.672,0.525
36 analyzed datasets
